ScenarioID,Iteration,Timestep,FlowGroupID,TransitionTypeID,Amount
160,1,2002,LULC: Harvest [Type],Urbanization: Open,816006.6932306392
160,1,2002,LULC: Harvest [Type],Urbanization: Low,514274.9344998598
160,1,2002,LULC: Harvest [Type],Urbanization: Medium,284171.5983456373
160,1,2002,LULC: Harvest [Type],Urbanization: High,95220.11193275452
160,1,2002,LULC: Harvest [Type],Forest Harvest: Forest Clearcut,29777056.03969589
160,1,2002,LULC: Harvest [Type],Forest Harvest: Forest Selection,2229240.7761400566
160,1,2002,LULC: Harvest [Type],Ag Expansion: Pasture,460378.2303905487
160,1,2002,LULC: Harvest [Type],Ag Expansion: Cropland,275298.4952804446
160,1,2002,LULC: Emission [Type],Urbanization: Open,2467820.499400009
160,1,2002,LULC: Emission [Type],Urbanization: Low,1628042.166639116
160,1,2002,LULC: Emission [Type],Urbanization: Medium,929238.1055305363
160,1,2002,LULC: Emission [Type],Urbanization: High,279301.341647692
160,1,2002,LULC: Emission [Type],Fire: High Severity,7691931.9724729285
160,1,2002,LULC: Emission [Type],Fire: Medium Severity,4970792.756198591
160,1,2002,LULC: Emission [Type],Fire: Low Severity,7952084.434425134
160,1,2002,LULC: Emission [Type],Ag Expansion: Pasture,517897.0983579091
160,1,2002,LULC: Emission [Type],Ag Expansion: Cropland,326847.05388718913
160,1,2002,LULC: Transfer [Type],Forest Harvest: Forest Clearcut,3481853.5204339344
160,1,2002,LULC: Mortality [Type],Fire: High Severity,11179180.035280688
160,1,2002,LULC: Mortality [Type],Fire: Medium Severity,7176938.95286258
160,1,2002,LULC: Mortality [Type],Fire: Low Severity,8562576.244532874
160,1,2002,LULC: Mortality [Type],Insect: High Severity,5465419.58919391
160,1,2002,LULC: Mortality [Type],Insect: Medium Severity,2367216.823396837
160,1,2002,LULC: Mortality [Type],Insect: Low Severity,4974596.561046375
160,1,2002,LULC: Mortality [Type],Forest Harvest: Forest Clearcut,32235020.63632775
160,1,2002,LULC: Mortality [Type],Forest Harvest: Forest Selection,2303529.4971249998
