ScenarioID,Iteration,Timestep,TransitionGroupID,Amount
160,1,2002,Urbanization: Open [Type],119800
160,1,2002,Urbanization: Low [Type],84400
160,1,2002,Urbanization: Medium [Type],53500
160,1,2002,Urbanization: High [Type],14700
160,1,2002,Intensification: Open to Low [Type],8000
160,1,2002,Intensification: Open to Medium [Type],16600
160,1,2002,Intensification: Open to High [Type],2000
160,1,2002,Intensification: Low to Medium [Type],4000
160,1,2002,Intensification: Low to High [Type],4300
160,1,2002,Fire: High Severity [Type],196600
160,1,2002,Fire: Medium Severity [Type],289500
160,1,2002,Fire: Low Severity [Type],890600
160,1,2002,Insect: High Severity [Type],323600
160,1,2002,Insect: Medium Severity [Type],320800
160,1,2002,Insect: Low Severity [Type],1280000
160,1,2002,Forest Harvest: Forest Clearcut [Type],927000
160,1,2002,Forest Harvest: Forest Selection [Type],92000
160,1,2002,Ag Expansion: Pasture [Type],40600
160,1,2002,Ag Expansion: Cropland [Type],249300
160,1,2002,Ag Expansion,289900
160,1,2002,Ag Contraction,350200
160,1,2002,Urbanization,272400
160,1,2002,Intensification,34900
160,1,2002,Fire,1376700
160,1,2002,Insect,1924400
160,1,2002,Forest Harvest,1019000
160,1,2002,Ag Contraction: Alder/Maple Group [Type],9300
160,1,2002,Ag Contraction: Aspen/Birch Group [Type],8900
160,1,2002,Ag Contraction: California Mixed Conifer Group [Type],8800
160,1,2002,Ag Contraction: Douglas-fir Group [Type],9600
160,1,2002,Ag Contraction: Elm/Ash/Cottonwood Group [Type],9700
160,1,2002,Ag Contraction: Exotic Hardwoods Group [Type],9600
160,1,2002,Ag Contraction: Exotic Softwoods Group [Type],7900
160,1,2002,Ag Contraction: Fir/Spruce/Mountain Hemlock Group [Type],10200
160,1,2002,Ag Contraction: Hemlock/Sitka Spruce Group [Type],8400
160,1,2002,Ag Contraction: Loblolly/Shortleaf Pine Group [Type],19900
160,1,2002,Ag Contraction: Lodgepole Pine Group [Type],9100
160,1,2002,Ag Contraction: Longleaf/Slash Pine Group [Type],12900
160,1,2002,Ag Contraction: Maple/Beech/Birch Group [Type],9300
160,1,2002,Ag Contraction: Oak/Gum/Cypress Group [Type],12800
160,1,2002,Ag Contraction: Oak/Hickory Group [Type],20200
160,1,2002,Ag Contraction: Oak/Pine Group [Type],10600
160,1,2002,Ag Contraction: Other Western Hardwoods Group [Type],11400
160,1,2002,Ag Contraction: Other Western Softwood Group [Type],8000
160,1,2002,Ag Contraction: Pinyon/Juniper Group [Type],10900
160,1,2002,Ag Contraction: Ponderosa Pine Group [Type],11000
160,1,2002,Ag Contraction: Redwood Group [Type],9200
160,1,2002,Ag Contraction: Spruce/Fir Group [Type],10700
160,1,2002,Ag Contraction: Tanoak/Laurel Group [Type],10300
160,1,2002,Ag Contraction: Tropical Hardwoods Group [Type],8700
160,1,2002,Ag Contraction: Western Larch Group [Type],8400
160,1,2002,Ag Contraction: Western Oak Group [Type],10700
160,1,2002,Ag Contraction: Western White Pine Group [Type],10400
160,1,2002,Ag Contraction: White/Red/Jack Pine Group [Type],8500
160,1,2002,Ag Contraction: Grassland [Type],19900
160,1,2002,Ag Contraction: Shrubland [Type],13200
160,1,2002,Ag Contraction: Wetland Herbaceous [Type],11600
160,1,2002,Ag Contraction: Wetland Woody [Type],10100
160,1,2002,Ag Contraction: Cropland,350200
160,1,2002,Ag Contraction: Pasture,350200
160,1,2002,Succession Post Fire: Alder/Maple Group [Type],500
160,1,2002,Succession Post Fire: Aspen/Birch Group [Type],900
160,1,2002,Succession Post Fire: California Mixed Conifer Group [Type],1100
160,1,2002,Succession Post Fire: Douglas-fir Group [Type],3500
160,1,2002,Succession Post Fire: Elm/Ash/Cottonwood Group [Type],400
160,1,2002,Succession Post Fire: Exotic Hardwoods Group [Type],600
160,1,2002,Succession Post Fire: Exotic Softwoods Group [Type],400
160,1,2002,Succession Post Fire: Fir/Spruce/Mountain Hemlock Group [Type],800
