Name,ID
West Virginia,54
Florida,12
Illinois,17
Minnesota,27
Maryland,24
Rhode Island,44
Idaho,16
New Hampshire,33
North Carolina,37
Vermont,50
Connecticut,09
Delaware,10
New Mexico,35
California,06
New Jersey,34
Wisconsin,55
Oregon,41
Nebraska,31
Pennsylvania,42
Washington,53
Louisiana,22
Georgia,13
Alabama,01
Utah,49
Ohio,39
Texas,48
Colorado,08
South Carolina,45
Oklahoma,40
Tennessee,47
Wyoming,56
Hawaii,15
North Dakota,38
Kentucky,21
United States Virgin Islands,78
Commonwealth of the Northern Mariana Islands,69
Guam,66
Maine,23
New York,36
Nevada,32
Alaska,02
American Samoa,60
Michigan,26
Arkansas,05
Mississippi,28
Missouri,29
Montana,30
Kansas,20
Indiana,18
Puerto Rico,72
South Dakota,46
Massachusetts,25
Virginia,51
District of Columbia,11
Iowa,19
Arizona,04
