"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,1.20069098472595,3.26848006248474,32.3543014526367,24.7506504058838,33.0950508117676,37.8577995300293,189.758697509766,140.868896484375,47.2280006408691,0,0,
1,0.006683675572,0,0,0,0,0,1.333955526,0,0.1230776757,0,0.1745442301,0,0.964685916900635,1.93694865703583,32.7050018310547,21.8323345184326,36.4470062255859,38.9593887329102,190.091247558594,134.265350341797,39.9986724853516,0,0,
2,0.03904629499,0,0,0,0.3365338445,0,3.014868259,0,0.2975526154,0,0.4551269114,0,0.99229621887207,1.18068492412567,32.3831329345703,19.2602100372314,39.4911117553711,39.9722023010254,190.281143188477,127.971481323242,33.8775444030762,0,0,
3,0.1096116826,0,0,0,1.843342304,0,3.855096579,0,0.4836339653,0,0.805753231,0,1.19281876087189,0.769235670566559,31.5864791870117,16.9942245483398,42.2464332580566,40.907901763916,190.376098632813,121.972953796387,28.7020664215088,0,0,
4,0.2278960049,0,0,0,3.69264698,0,4.55821991,0,0.6667101383,0,1.215575457,0,1.46709680557251,0.561714708805084,30.4750308990479,14.9988441467285,44.7310066223145,41.773494720459,190.406204223633,116.25617980957,24.3346042633057,0,0,
5,0.4018728435,0,0,0,5.767521381,0,5.166255951,0,0.8391352892,0,1.677379012,0,1.78093695640564,0.473030656576157,29.1651935577393,13.2426414489746,46.9618988037109,42.5749702453613,190.39079284668,110.808258056641,20.654146194458,0,0,
6,0.6384476423,0,0,0,7.991440296,0,5.702714443,0,0.9969363213,0,2.184901476,0,2.11158919334412,0.451962769031525,27.7463531494141,11.6978397369385,48.9552383422852,43.3176460266113,190.342422485352,105.616928100586,17.5572929382324,0,0,
7,0.9436744452,0,0,0,10.30878353,0,6.18255043,0,1.138386607,0,2.732185364,0,2.44387269020081,0.467800885438919,26.2864265441895,10.3398847579956,50.7262916564941,44.0063781738281,190.269470214844,100.670555114746,14.9558515548706,0,0,
8,1.322866559,0,0,0,12.67657471,0,6.616072655,0,1.263190627,0,3.313453197,0,2.76784467697144,0.502264022827148,24.8361873626709,9.14706420898438,52.2894859313965,44.6456756591797,190.177673339844,95.9580764770508,12.7746648788452,0,0,
9,1.780654907,0,0,0,15.06032658,0,7.010791302,0,1.371956587,0,3.92313695,0,3.0772545337677,0.544613182544708,23.4327144622803,8.10017681121826,53.6584663391113,45.2397384643555,190.071060180664,91.4689865112305,10.9497156143188,0,0,
10,2.321017027,0,0,0,17.43168831,0,7.372400284,0,1.465835452,0,4.555938244,0,3.36846494674683,0.588688373565674,22.1021881103516,7.18223905563354,54.8461303710938,45.7925148010254,189.952545166016,87.1932754516602,9.42649078369141,0,0,
11,2.947289467,0,0,0,19.76701927,0,7.705354691,0,1.546272039,0,5.206892967,0,3.63967847824097,0.63110613822937,20.8621635437012,6.37822437286377,55.8646697998047,46.3077087402344,189.824340820313,83.121452331543,8.15857601165771,0,0,
12,3.66217041,0,0,0,22.04644966,0,8.013223648,0,1.614833355,0,5.871416092,0,3.89037418365479,0.670157670974731,19.7234077453613,5.67483615875244,56.7256088256836,46.7887878417969,189.688125610352,79.2444610595703,7.10645771026611,0,0,
