"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.532917976379395,0.947595000267029,5.44330501556396,4.87427616119385,3.03675889968872,6.18690776824951,53.5169792175293,0,0,23.2877407073975,9.66390609741211,
1,0,0.232177645,0,0,0,0.7033157945,0,0.06693613529,0,0.456936121,0,0.7517340183,0.0811846330761909,0.0530550703406334,4.67613697052002,3.55080103874207,3.51377820968628,6.67245197296143,53.7695083618164,0,0,21.744010925293,7.51732730865479,
2,0,0.6712227464,0,0,0,1.554808855,0,0.1429159492,0,0.7148886919,0,1.336326718,0.0469147823750973,0.012517187744379,3.98329019546509,2.59228563308716,3.9110746383667,7.00723743438721,53.837230682373,0,0,20.3048324584961,5.85494518280029,
3,0,1.240108728,0,0,0,2.415630579,0,0.2196463346,0,0.9034150243,0,1.872929573,0.0608900748193264,0.014128889888525,3.38072538375854,1.89864718914032,4.2374095916748,7.27115917205811,53.867374420166,0,0,18.9643592834473,4.56973600387573,
4,0,1.905010104,0,0,0,3.249153137,0,0.2949541211,0,1.049007177,0,2.374728918,0.0786730349063873,0.01699542067945,2.87083554267883,1.39751589298248,4.50075054168701,7.48478937149048,53.8758316040039,0,0,17.716775894165,3.57772541046143,
5,0,2.642867804,0,0,0,4.038379192,0,0.3678000569,0,1.164761424,0,2.846304893,0.0952216759324074,0.0193210728466511,2.44872951507568,1.03627693653107,4.70832538604736,7.65977764129639,53.86962890625,0,0,16.5564670562744,2.81338500976563,
6,0,3.435781479,0,0,0,4.774832726,0,0.4376253486,0,1.258576512,0,3.289944649,0.110225915908813,0.0211873818188906,2.1058235168457,0.776656210422516,4.86668395996094,7.80511999130249,53.8536415100098,0,0,15.4780569076538,2.22565340995789,
7,0,4.269004822,0,0,0,5.454708576,0,0.5041283965,0,1.335701823,0,3.707157135,0.123862393200397,0.0227080881595612,1.8320324420929,0.590807199478149,4.98175096511841,7.92805242538452,53.8313827514648,0,0,14.4764232635498,1.77477359771729,
8,0,5.130023003,0,0,0,6.077063084,0,0.5671628714,0,1.399832249,0,4.099166393,0.136308938264847,0.0239635966718197,1.6170791387558,0.458469927310944,5.05887842178345,8.03433799743652,53.8053359985352,0,0,13.5466938018799,1.42981195449829,
9,0,6.008058548,0,0,0,6.642802715,0,0.6266824603,0,1.453667521,0,4.467087269,0.147706910967827,0.0250113494694233,1.45123910903931,0.364905267953873,5.10289525985718,8.12848949432373,53.7772560119629,0,0,12.6842441558838,1.16671514511108,
