"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.379281997680664,2.44277596473694,14.1187000274658,11.1242704391479,13.7911901473999,8.5728063583374,75.9207229614258,64.1965103149414,20.4557304382324,0,0,
1,0.006290321238,0,0,0,0.00232395879,0,0.002109394874,0,0.001013917848,0,0.001366737997,0,0.305914849042892,1.64816379547119,14.6550312042236,10.0855894088745,15.4598770141602,9.05328559875488,76.0354995727539,61.3861198425293,17.5506782531738,0,0,
2,0.03195500001,0,0,0,0.01228735875,0,0.008993731812,0,0.005028693937,0,0.006789718755,0,0.247793361544609,1.11261093616486,14.8781023025513,9.14392185211182,17.0002117156982,9.50870132446289,76.0924453735352,58.6988334655762,15.0582523345947,0,0,
3,0.08265627921,0,0,0,0.03220924735,0,0.02098921314,0,0.01280934736,0,0.01735040359,0,0.203232139348984,0.752567648887634,14.8548545837402,8.29025173187256,18.4191627502441,9.93839359283447,76.1074905395508,56.1293601989746,12.9199352264404,0,0,
4,0.1621481478,0,0,0,0.06354565918,0,0.03826114163,0,0.02481688187,0,0.03378111497,0,0.171051412820816,0.511798679828644,14.6407308578491,7.51641225814819,19.7233600616455,10.3422222137451,76.0917510986328,53.6726608276367,11.0855407714844,0,0,
5,0.2733152509,0,0,0,0.1073763371,0,0.06090025976,0,0.04135493562,0,0.05667845532,0,0.150409311056137,0.352446585893631,14.2814884185791,6.8150053024292,20.9191188812256,10.7204656600952,76.0530776977539,51.3239364624023,9.51201915740967,0,0,
6,0.4184806943,0,0,0,0.1645438373,0,0.08894753456,0,0.06260951608,0,0.0865682736,0,0.140695869922638,0.24902331829071,13.8147411346436,6.17932891845703,22.0124492645264,11.0737342834473,75.9971237182617,49.0786056518555,8.16244697570801,0,0,
7,0.5995448828,0,0,0,0.2357152849,0,0.1224049106,0,0.08866590261,0,0.1239357442,0,0.141456216573715,0.184362351894379,13.2712697982788,5.60331106185913,23.009069442749,11.4028940200806,75.9280014038086,46.9322967529297,7.00514793395996,0,0,
8,0.8180599809,0,0,0,0.3214149773,0,0.1612410545,0,0.1195178404,0,0.1692411304,0,0.1523327678442,0.1468905210495,12.6761264801025,5.08145189285278,23.9144268035889,11.7090082168579,75.8487930297852,44.8808364868164,6.01295280456543,0,0,
9,1.075272918,0,0,0,0.4220435321,0,0.2053950131,0,0.1550741792,0,0.222927779,0,0.173021003603935,0.128789335489273,12.0495805740356,4.60876798629761,24.7337036132813,11.9932823181152,75.761833190918,42.9202423095703,5.16255474090576,0,0,
10,1.372152805,0,0,0,0.5378898382,0,0.2547787726,0,0.1951648444,0,0.2854254842,0,0.203235730528831,0.124755688011646,11.4079074859619,4.18074560165405,25.471830368042,12.2570247650146,75.6689529418945,41.0467147827148,4.43395948410034,0,0,
11,1.709408522,0,0,0,0.6691393256,0,0.3092792928,0,0.2395473421,0,0.3571502864,0,0.242685720324516,0.131167143583298,10.7640600204468,3.79329705238342,26.1335029602051,12.5016031265259,75.5716171264648,39.2566146850586,3.81001496315002,0,0,
12,2.087501287,0,0,0,0.8158795238,0,0.3687602282,0,0.2879137695,0,0.4385015666,0,0.291055053472519,0.145520269870758,10.1282348632813,3.44271874427795,26.7231845855713,12.728422164917,75.4710235595703,37.5464744567871,3.27600622177124,0,0,
13,2.506654263,0,0,0,0.9781048894,0,0.4330634773,0,0.3398990929,0,0.5298576355,0,0.347990393638611,0.166053339838982,9.5083475112915,3.12565732002258,27.2451210021973,12.9388942718506,75.3681793212891,35.9129676818848,2.8193085193634,0,0,
14,2.966858625,0,0,0,1.155720353,0,0.5020107627,0,0.3950900733,0,0.6315689087,0,0.413092851638794,0.191493645310402,8.91043090820313,2.83907556533813,27.7033576965332,13.1344194412231,75.2639389038086,34.3529281616211,2.42908954620361,0,0,
15,3.467881918,0,0,0,1.348544598,0,0.5754051805,0,0.453034997,0,0.7439516783,0,0.485914021730423,0.220889002084732,8.33897304534912,2.58022284507751,28.1017360687256,13.316367149353,75.1590194702148,32.8633193969727,2.09605407714844,0,0,
16,4.009272575,0,0,0,1.556313634,0,0.6530325413,0,0.5132542253,0,0.8672791123,0,0.565955638885498,0.253496319055557,7.79719495773315,2.34660816192627,28.4439125061035,13.4860696792603,75.0540618896484,31.4412403106689,1.81222486495972,0,0,
17,4.59036684,0,0,0,1.77868402,0,0.7346631885,0,0.5752503872,0,1.001774192,0,0.652672111988068,0.288708627223969,7.28728914260864,2.13597512245178,28.733362197876,13.6448030471802,74.9496078491211,30.0839138031006,1.57075452804565,0,0,
18,5.210295677,0,0,0,2.015236378,0,0.8200532794,0,0.6385191679,0,1.14760077,0,0.745475232601166,0.326008141040802,6.81061315536499,1.9462798833847,28.9733905792236,13.7937841415405,74.8461303710938,28.7886772155762,1.36576461791992,0,0,
19,5.867992401,0,0,0,2.265478849,0,0.9089466333,0,0.7025595307,0,1.304857254,0,0.843740820884705,0.364936828613281,6.36785411834717,1.77567064762115,29.1671390533447,13.9341640472412,74.7440490722656,27.5529823303223,1.1922070980072,0,0,
20,6.562198639,0,0,0,2.528851509,0,1.001076221,0,0.7668828964,0,1.473569393,0,0.946816921234131,0.405078709125519,5.95916318893433,1.62246906757355,29.3175926208496,14.0670223236084,74.6437225341797,26.3743896484375,1.04574584960938,0,0,
21,7.291476727,0,0,0,2.804730415,0,1.096166015,0,0.8310220838,0,1.653684855,0,1.05403280258179,0.446049690246582,5.58426856994629,1.48515343666077,29.4275894165039,14.1933660507202,74.5454330444336,25.2505569458008,0.922654986381531,0,0,
22,8.054216385,0,0,0,3.092431784,0,1.193932295,0,0.8945392966,0,1.845069647,0,1.16470837593079,0.487492948770523,5.24256753921509,1.36234307289124,29.4998207092285,14.3141288757324,74.4494400024414,24.1792411804199,0.819731473922729,0,0,
23,8.848647118,0,0,0,3.391217709,0,1.29408586,0,0.9570316076,0,2.047505379,0,1.27816379070282,0.529076755046844,4.9332013130188,1.25278496742249,29.5368461608887,14.4301691055298,74.35595703125,23.1582870483398,0.734220385551453,0,0,
24,9.672848701,0,0,0,3.700300932,0,1.396333218,0,1.01813674,0,2.260688543,0,1.39372873306274,0.570494651794434,4.65511894226074,1.15534055233002,29.5410957336426,14.5422735214233,74.26513671875,22.1856250762939,0.663750827312469,0,0,
25,10.52476597,0,0,0,4.018850327,0,1.50037837,0,1.077536464,0,2.484230518,0,1.51075124740601,0.611466228961945,4.40712738037109,1.0689742565155,29.5148735046387,14.6511545181274,74.177116394043,21.2592697143555,0.606280744075775,0,0,
26,11.40221786,0,0,0,4.345995903,0,1.605924845,0,1.134958386,0,2.717660427,0,1.62860584259033,0.651738464832306,4.18793344497681,0.992743670940399,29.4603672027588,14.7574586868286,74.0919876098633,20.3773136138916,0.560050189495087,0,0,
27,12.30291748,0,0,0,4.680835247,0,1.712676525,0,1.190177798,0,2.960429668,0,1.74670040607452,0.691086947917938,3.99617600440979,0.925789535045624,29.3796520233154,14.861762046814,74.0098114013672,19.5379199981689,0.523540556430817,0,0,
28,13.22447968,0,0,0,5.022440434,0,1.820340157,0,1.243016124,0,3.211915493,0,1.8644814491272,0.729316592216492,3.83045268058777,0.867327511310577,29.274694442749,14.9645833969116,73.9306411743164,18.7393226623535,0.495440185070038,0,0,
29,14.16444111,0,0,0,5.369861603,0,1.928625941,0,1.293340921,0,3.47142911,0,1.98143947124481,0.766262173652649,3.68934226036072,0.816640615463257,29.1473579406738,15.0663766860962,73.8544692993164,17.9798240661621,0.474614888429642,0,0,
30,15.12027645,0,0,0,5.722135067,0,2.037249327,0,1.341062188,0,3.738223076,0,2.09711194038391,0.80178838968277,3.57142066955566,0.773072183132172,28.9994068145752,15.1675443649292,73.7813034057617,17.2577896118164,0.46008226275444,0,0,
31,16.08940887,0,0,0,6.078289509,0,2.145932913,0,1.386129856,0,4.011496544,0,2.21108531951904,0.835788547992706,3.47527456283569,0.736020028591156,28.8325138092041,15.2684354782104,73.7111206054688,16.5716400146484,0.450990289449692,0,0,
