"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,1.32024502754211,3.21729397773743,32.2411994934082,25.8984298706055,33.5464706420898,38.5242004394531,197.142196655273,152.556396484375,43.8686790466309,0,0,
1,0.02643871494,0,0,0,0.1128255501,0,0.1384024322,0,0.02609811164,0,0.03554389626,0,0.93015593290329,1.78182244300842,31.931848526001,22.5768985748291,37.1437110900879,39.7081146240234,197.538070678711,145.206466674805,36.9504089355469,0,0,
2,0.133062005,0,0,0,0.4900165498,0,0.3725424409,0,0.09210271388,0,0.1289251447,0,0.688079178333282,0.996015965938568,31.066047668457,19.6819438934326,40.393367767334,40.7618103027344,197.759262084961,138.211044311523,31.1255512237549,0,0,
3,0.342217505,0,0,0,1.093165278,0,0.6617230177,0,0.1893419474,0,0.2762155533,0,0.564968764781952,0.575849771499634,29.8173847198486,17.1593399047852,43.3180274963379,41.6973648071289,197.864959716797,131.553573608398,26.2239570617676,0,0,
4,0.6683897972,0,0,0,1.891350508,0,0.9907826781,0,0.3105128109,0,0.4777033031,0,0.535880863666534,0.362811625003815,28.3214263916016,14.961799621582,45.9390029907227,42.5264205932617,197.891357421875,125.218437194824,22.1019802093506,0,0,
5,1.122380495,0,0,0,2.858179331,0,1.350365281,0,0.4485085607,0,0.7349568009,0,0.580542981624603,0.267949998378754,26.683084487915,13.0481119155884,48.2764167785645,43.260066986084,197.861404418945,119.190826416016,18.6383666992188,0,0,
6,1.7125144,0,0,0,3.96984601,0,1.733730435,0,0.5965378284,0,1.04983449,0,0.682434976100922,0.240833297371864,24.982608795166,11.3823642730713,50.3492622375488,43.9087448120117,197.790237426758,113.456703186035,15.7307453155518,0,0,
7,2.445169687,0,0,0,5.204255581,0,2.135622501,0,0.7483884096,0,1.42389214,0,0.827965795993805,0.25241482257843,23.280445098877,9.93326473236084,52.1754608154297,44.4821891784668,197.688232421875,108.002746582031,13.2926816940308,0,0,
8,3.325052261,0,0,0,6.540606499,0,2.551749945,0,0.898668766,0,1.857995987,0,1.00586986541748,0.285600185394287,21.6211986541748,8.67354774475098,53.7719230651855,44.9893836975098,197.562744140625,102.816314697266,11.2511692047119,0,0,
9,4.355353355,0,0,0,7.959198475,0,2.978505611,0,1.042973638,0,2.352085114,0,1.20678997039795,0.330065935850143,20.0368671417236,7.57944488525391,55.1546020507813,45.4385452270508,197.419204711914,97.8853912353516,9.54452705383301,0,0,
