"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.653571009635925,2.05023002624512,13.1801700592041,10.4539699554443,16.5866203308105,25.3438606262207,103.309600830078,0,0,66.7410430908203,22.6128196716309,
1,0,0.004289614502,0,0,0,0.02353660949,0,0.005135630257,0,0.06211899221,0,0.08587251604,0.494398772716522,1.24014031887054,13.6781339645386,9.26010322570801,18.1649017333984,25.6918506622314,103.465072631836,0,0,63.6435775756836,19.1891822814941,
2,0,0.02379303798,0,0,0,0.09803231806,0,0.01699648239,0,0.1472873688,0,0.2110327482,0.399748265743256,0.766709923744202,13.8181962966919,8.20355701446533,19.6000232696533,26.001522064209,103.545761108398,0,0,60.6899452209473,16.2843723297119,
3,0,0.0647945255,0,0,0,0.2226828188,0,0.03415145725,0,0.2410719544,0,0.3596630692,0.361002892255783,0.498988062143326,13.6888198852539,7.26892137527466,20.9007129669189,26.2753582000732,103.577423095703,0,0,57.8735885620117,13.8203096389771,
4,0,0.1318426281,0,0,0,0.3954738379,0,0.0559091717,0,0.3386495113,0,0.5276122093,0.368726551532745,0.356290757656097,13.3613195419312,6.44245910644531,22.0752372741699,26.5160999298096,103.576377868652,0,0,55.1882972717285,11.7307262420654,
5,0,0.2286359966,0,0,0,0.6140518785,0,0.08177711815,0,0.4372375607,0,0.7127212882,0.414591819047928,0.289316058158875,12.8929090499878,5.71197462081909,23.131420135498,26.7266063690186,103.553146362305,0,0,52.628173828125,9.95936679840088,
6,0,0.3583022058,0,0,0,0.8758632541,0,0.1113541201,0,0.534992218,0,0.913536191,0.491550981998444,0.267940133810043,12.3292007446289,5.06664896011353,24.0766716003418,26.9097633361816,103.514587402344,0,0,50.1876106262207,8.45846939086914,
7,0,0.5235255361,0,0,0,1.178201675,0,0.1442899406,0,0.6306221485,0,1.128899574,0.5937340259552,0.27372732758522,11.7062854766846,4.49688720703125,24.9180068969727,27.068431854248,103.465316772461,0,0,47.8612899780273,7.18747806549072,
8,0,0.7266142368,0,0,0,1.518233895,0,0.1802663952,0,0.7232061625,0,1.357783914,0.716284334659576,0.295366734266281,11.0524530410767,3.99418210983276,25.6620655059814,27.2054004669189,103.408470153809,0,0,45.6441497802734,6.11195278167725,
9,0,0.9695384502,0,0,0,1.893019199,0,0.2189873308,0,0.812091589,0,1.599214315,0.855192482471466,0.325897842645645,10.3896284103394,3.55098795890808,26.3151359558105,27.3233489990234,103.346267700195,0,0,43.5313835144043,5.20264053344727,
