"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.607209026813507,1.4086799621582,10.690299987793,8.92259788513184,9.95235252380371,15.9051303863525,82.5586471557617,0,0,56.008129119873,20.3153896331787,
1,0,0.03789306059,0,0,0,0.08664857596,0,0.01599074155,0,0.1483609378,0,0.2126680911,0.328317552804947,0.537125885486603,10.4416847229004,7.32289981842041,11.1955242156982,16.4908714294434,82.8086776733398,0,0,52.9486351013184,16.6443290710449,
2,0,0.1515696347,0,0,0,0.2813926041,0,0.0443543531,0,0.3023552001,0,0.4634629786,0.220672219991684,0.228488430380821,9.94177913665771,6.01206350326538,12.2872495651245,16.9731178283691,82.9250717163086,0,0,50.056770324707,13.6379957199097,
3,0,0.3405686915,0,0,0,0.5530762672,0,0.08018035442,0,0.4498073161,0,0.737533927,0.205840155482292,0.130872547626495,9.29273891448975,4.9385232925415,13.2397203445435,17.3733959197998,82.9761657714844,0,0,47.3238716125488,11.1770973205566,
4,0,0.6040055752,0,0,0,0.8861050606,0,0.1215508729,0,0.5880417824,0,1.030534029,0.240604862570763,0.111436188220978,8.56795120239258,4.05988597869873,14.0642967224121,17.706428527832,82.9910736083984,0,0,44.7417526245117,9.1636905670166,
5,0,0.9406116605,0,0,0,1.269477248,0,0.1672506183,0,0.7161394358,0,1.339541554,0.301685810089111,0.120151720941067,7.81924343109131,3.34133219718933,14.771556854248,17.9832057952881,82.9834518432617,0,0,42.3026466369629,7.51741361618042,
6,0,1.348752618,0,0,0,1.694460273,0,0.2163848132,0,0.8339249492,0,1.662137985,0.376508116722107,0.1381945759058,7.08228778839111,2.75426697731018,15.3713493347168,18.2125568389893,82.960578918457,0,0,39.9992218017578,6.17233610153198,
7,0,1.82644546,0,0,0,2.153697014,0,0.2682425976,0,0.9416103363,0,1.996156693,0.458217531442642,0.158508375287056,6.38072872161865,2.2752058506012,15.8728370666504,18.4019260406494,82.9269180297852,0,0,37.8245239257813,5.07436943054199,
8,0,2.371376276,0,0,0,2.640779495,0,0.3222338259,0,1.039625883,0,2.33959651,0.543025135993958,0.178485706448555,5.72934532165527,1.8848602771759,16.2845401763916,18.5577735900879,82.8855056762695,0,0,35.77197265625,4.17913770675659,
9,0,2.980920553,0,0,0,3.150020123,0,0.3778552115,0,1.128525019,0,2.690588474,0.628796935081482,0.197208061814308,5.13645935058594,1.56738579273224,16.6143856048584,18.6857738494873,82.8385314941406,0,0,33.8353271484375,3.45022940635681,
