"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.303065985441208,2.18255400657654,7.80826997756958,4.474289894104,3.34313106536865,6.03920698165894,50.4440498352051,17.5377407073975,17.3672695159912,0,0,
1,6.91654941E-06,0,0,0,0,0,0.04794337973,0,0.004529927857,0,0.006115037948,0,0.254007905721664,1.53553533554077,8.73228454589844,4.09333944320679,3.81769371032715,6.26339721679688,50.4897003173828,16.7881622314453,14.9650850296021,0,0,
2,6.669863797E-05,0,0,0,0,0,0.1495976001,0,0.01410708483,0,0.01911838725,0,0.221390917897224,1.08206677436829,9.35794353485107,3.74491381645203,4.25827026367188,6.47806835174561,50.4985885620117,16.0706195831299,12.8951625823975,0,0,
3,0.0002511019993,0,0,0,0,0,0.2906451225,0,0.0273335427,0,0.0372454226,0,0.207431092858315,0.765705287456512,9.74110317230225,3.42629837989807,4.66661834716797,6.68233013153076,50.4810447692871,15.3837471008301,11.1115455627441,0,0,
4,0.0006431824295,0,0,0,0.04643816873,0,0.4185248017,0,0.04358065873,0,0.05978390574,0,0.210923343896866,0.546525120735168,9.92928695678711,3.13499855995178,5.04441213607788,6.87571048736572,50.4444618225098,14.7262334823608,9.57485485076904,0,0,
5,0.001334047643,0,0,0,0.1455274522,0,0.5230337381,0,0.0624188967,0,0.08629786968,0,0.228123903274536,0.396326571702957,9.96308422088623,2.86872696876526,5.39324855804443,7.05799007415771,50.3941650390625,14.0968255996704,8.25141048431396,0,0,
6,0.002421228681,0,0,0,0.2726780474,0,0.6257573962,0,0.08351114392,0,0.1164790243,0,0.256297260522842,0.2951899766922,9.87629222869873,2.62538719177246,5.71464920043945,7.22916316986084,50.3340034484863,13.4943227767944,7.1121039390564,0,0,
7,0.004007646348,0,0,0,0.4256700873,0,0.726467371,0,0.1065735891,0,0.1500906348,0,0.293977409601212,0.229035526514053,9.69679641723633,2.4030590057373,6.01006555557251,7.38942003250122,50.266773223877,12.9175777435303,6.13172388076782,0,0,
8,0.00620087143,0,0,0,0.6025522947,0,0.8250178099,0,0.1313573271,0,0.1869398206,0,0.339861840009689,0.187900632619858,9.44774341583252,2.19998407363892,6.28087949752808,7.53910207748413,50.1945266723633,12.3654909133911,5.28852605819702,0,0,
9,0.009112553671,0,0,0,0.8015598655,0,0.9213160872,0,0.157638818,0,0.2268626094,0,0.392797321081162,0.164725184440613,9.14826679229736,2.01455187797546,6.52840900421143,7.67866468429565,50.1187782287598,11.8370122909546,4.56375598907471,0,0,
