"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.288311988115311,1.38039398193359,5.70808887481689,3.57173204421997,1.8272420167923,4.28429985046387,46.1991500854492,13.496470451355,16.6526107788086,0,0,
1,0.0002202128235,0,0,0,0,0,0.2406121045,0,0.0226545278,0,0.03081024624,0,0.198762536048889,0.704371809959412,6.33430433273315,3.06847500801086,2.17614674568176,4.61803960800171,46.2750244140625,12.8246402740479,13.9312133789063,0,0,
2,0.0013329715,0,0,0,0.1239743233,0,0.4836985469,0,0.05682197958,0,0.07837731391,0,0.161975890398026,0.364957869052887,6.64041185379028,2.63648223876953,2.49152660369873,4.9210410118103,46.2849769592285,12.1862545013428,11.6551275253296,0,0,
3,0.003821273101,0,0,0,0.3665835857,0,0.6736876369,0,0.09648323804,0,0.1353052855,0,0.159816890954971,0.198241055011749,6.71301984786987,2.26582193374634,2.77564406394959,5.19549608230591,46.2589912414551,11.5796546936035,9.75270652770996,0,0,
4,0.008066301234,0,0,0,0.6716558933,0,0.8463719487,0,0.1395311505,0,0.1992617697,0,0.178929090499878,0.120139263570309,6.61954116821289,1.94792068004608,3.03062701225281,5.443359375,46.2129821777344,11.0032653808594,8.16372871398926,0,0,
5,0.01439735107,0,0,0,1.023870587,0,1.00518775,0,0.1847159266,0,0.26893121,0,0.211509749293327,0.0875868201255798,6.41177797317505,1.67539751529694,3.25847697257996,5.66658115386963,46.155574798584,10.4555912017822,6.83747863769531,0,0,
6,0.02310908586,0,0,0,1.412856817,0,1.15230763,0,0.2311793119,0,0.3434174061,0,0.252419292926788,0.0784943550825119,6.12953329086304,1.44190216064453,3.46107578277588,5.86713552474976,46.0915908813477,9.93521213531494,5.73141145706177,0,0,
7,0.0344700329,0,0,0,1.830900073,0,1.289270043,0,0.2782896161,0,0.4220405221,0,0.29826220870018,0.0814984291791916,5.80310583114624,1.24197268486023,3.64019227027893,6.04701471328735,46.0238418579102,9.44078159332275,4.80985069274902,0,0,
8,0.04872741923,0,0,0,2.271924734,0,1.417242408,0,0.3255645931,0,0.5042479038,0,0.346789985895157,0.0907249748706818,5.45527696609497,1.0709114074707,3.79748868942261,6.20820665359497,45.9540405273438,8.97101879119873,4.04288530349731,0,0,
9,0.06611011177,0,0,0,2.730962038,0,1.537152886,0,0.3726291656,0,0.5895688534,0,0.396511107683182,0.103114612400532,5.10290098190308,0.9246786236763,3.93452715873718,6.35266351699829,45.8832969665527,8.5247106552124,3.40544199943542,0,0,
10,0.08683048189,0,0,0,3.203841925,0,1.649763823,0,0.4191886485,0,0.6775882244,0,0.446435302495956,0.117055684328079,4.75818061828613,0.799800038337708,4.05277442932129,6.4822793006897,45.8123817443848,8.10070323944092,2.87650203704834,0,0,
11,0.111085631,0,0,0,3.686998844,0,1.75571692,0,0.4650114477,0,0.7679325342,0,0.495905846357346,0.131685048341751,4.42969036102295,0.693287551403046,4.15360879898071,6.5988597869873,45.7418327331543,7.69790124893188,2.43844556808472,0,0,
12,0.139058128,0,0,0,4.177343369,0,1.85556221,0,0.5099161863,0,0.8602597713,0,0.544488966464996,0.146529763936996,4.12319374084473,0.602571249008179,4.23832273483276,6.70411062240601,45.6720581054688,7.31526517868042,2.0765016078949,0,0,
13,0.1709164679,0,0,0,4.672171116,0,1.949778438,0,0.5537625551,0,0.9542536736,0,0.591901063919067,0.161322876811028,3.84229588508606,0.525440514087677,4.30813026428223,6.79962062835693,45.6033668518066,6.9518084526062,1.77828574180603,0,0,
14,0.2068153322,0,0,0,5.169099331,0,2.038786888,0,0.5964437127,0,1.049620152,0,0.637960076332092,0.175908386707306,3.58896136283875,0.459993749856949,4.36417055130005,6.8868556022644,45.5359916687012,6.60659313201904,1.53341424465179,0,0,
15,0.2468957007,0,0,0,5.666017056,0,2.12296176,0,0.6378808022,0,1.146083355,0,0.682553648948669,0.190191730856895,3.36392569541931,0.404594838619232,4.40751123428345,6.96715497970581,45.4701194763184,6.27873039245605,1.33317911624908,0,0,
16,0.2912847996,0,0,0,6.161046505,0,2.202638388,0,0.6780175567,0,1.243385792,0,0.725617289543152,0.204113811254501,3.16701889038086,0.357835948467255,4.43915319442749,7.04173135757446,45.405891418457,5.96737432479858,1.17027688026428,0,0,
