"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.72630101442337,1.96785402297974,6.17684316635132,4.77402496337891,7.8844141960144,11.4512796401978,56.7709007263184,27.2510509490967,9.3213939666748,0,0,
1,0.00421135081,0,0,0,0.06904593855,0,0.02259602398,0,0.009045760147,0,0.01223367546,0,0.575855851173401,1.29020845890045,6.40640068054199,4.30159854888916,8.53058338165283,11.591480255127,56.8486518859863,26.038818359375,7.9744439125061,0,0,
2,0.02021699958,0,0,0,0.217677623,0,0.06227177382,0,0.02819879726,0,0.03843814507,0,0.464342296123505,0.849202990531921,6.49499034881592,3.87610125541687,9.12229442596436,11.715859413147,56.8796463012695,24.8805809020996,6.82321166992188,0,0,
3,0.05058485642,0,0,0,0.4210544527,0,0.1122484803,0,0.05450872332,0,0.07511437684,0,0.387368261814117,0.565047025680542,6.47612380981445,3.49299836158752,9.66263580322266,11.8257064819336,56.8787307739258,23.774019241333,5.84004688262939,0,0,
4,0.09690618515,0,0,0,0.6672677994,0,0.1699557751,0,0.08653191477,0,0.1208448932,0,0.340357035398483,0.385003864765167,6.37698554992676,3.14818215370178,10.1545429229736,11.9223670959473,56.8559226989746,22.7169361114502,5.00112152099609,0,0,
5,0.1603405625,0,0,0,0.9480680227,0,0.2337974608,0,0.1232172549,0,0.1747524738,0,0.319133222103119,0.274260491132736,6.21964120864868,2.83794093132019,10.6008071899414,12.0072011947632,56.8180541992188,21.707239151001,4.28595590591431,0,0,
6,0.2417697757,0,0,0,1.256986141,0,0.3026161194,0,0.1637033671,0,0.2362012416,0,0.319995611906052,0.209808051586151,6.0219202041626,2.55892372131348,11.0040836334229,12.0815496444702,56.7698173522949,20.7429370880127,3.67696022987366,0,0,
7,0.3418659866,0,0,0,1.588615775,0,0.3755021989,0,0.2072468251,0,0.3046815991,0,0.339696973562241,0.176403611898422,5.79813766479492,2.30810594558716,11.3668966293335,12.1467132568359,56.714485168457,19.8221302032471,3.15903067588806,0,0,
8,0.4611276686,0,0,0,1.93827033,0,0.4517057538,0,0.2531908154,0,0.3797542453,0,0.375398337841034,0.16391359269619,5.55969047546387,2.08275818824768,11.6916446685791,12.2039403915405,56.6543731689453,18.9430103302002,2.71919846534729,0,0,
9,0.5999010801,0,0,0,2.30179739,0,0.5305891633,0,0.3009491265,0,0.4610187709,0,0.424619078636169,0.165568381547928,5.31555509567261,1.88041710853577,11.9806108474731,12.2544136047363,56.5911483764648,18.103853225708,2.34632730484009,0,0,
10,0.7583938241,0,0,0,2.675468206,0,0.6115991473,0,0.3499973416,0,0.5480950475,0,0.485189944505692,0.176816195249557,5.07270669937134,1.69886004924774,12.2359628677368,12.2992448806763,56.5260238647461,17.3030090332031,2.0308530330658,0,0,
11,0.9366843104,0,0,0,3.055910587,0,0.6942490339,0,0.3998672664,0,0.6406120062,0,0.555211186408997,0.194570645689964,4.8364691734314,1.53608059883118,12.4597625732422,12.3394660949707,56.4599113464355,16.5389022827148,1.76456022262573,0,0,
12,1.134728789,0,0,0,3.440063953,0,0.7781065106,0,0.4501430988,0,0.7382006645,0,0.633016884326935,0.216716885566711,4.61080837249756,1.39026784896851,12.6539688110352,12.3760328292847,56.3935012817383,15.8100290298462,1.54039025306702,0,0,
13,1.352367282,0,0,0,3.825148821,0,0.8627852201,0,0.5004577041,0,0.8404892087,0,0.717144370079041,0.241787135601044,4.39857959747314,1.25978648662567,12.8204431533813,12.4098196029663,56.327320098877,15.114953994751,1.3522766828537,0,0,
14,1.589328289,0,0,0,4.208646297,0,0.947938621,0,0.5504902005,0,0.9471026063,0,0.806308448314667,0.268747568130493,4.20173406600952,1.14315986633301,12.9609546661377,12.4416198730469,56.2617835998535,14.4523029327393,1.19500505924225,0,0,
15,1.845234156,0,0,0,4.588282108,0,1.033254981,0,0.5999627709,0,1.05766058,0,0.899379909038544,0.296857893466949,4.02149200439453,1.03905403614044,13.0771837234497,12.4721479415894,56.1972160339355,13.8207597732544,1.06409180164337,0,0,
16,2.119605064,0,0,0,4.962013721,0,1.118453622,0,0.648637712,0,1.17177844,0,0.995366930961609,0.325579077005386,3.85848689079285,0.946263670921326,13.170726776123,12.5020437240601,56.1338806152344,13.2190628051758,0.955680549144745,0,0,
17,2.411864281,0,0,0,5.328020573,0,1.203282237,0,0.6963144541,0,1.28906858,0,1.09339964389801,0.354511976242065,3.71288681030273,0.86369925737381,13.2430992126465,12.5318717956543,56.0719757080078,12.6460065841675,0.866454362869263,0,0,
18,2.721343756,0,0,0,5.684697628,0,1.287513614,0,0.7428269982,0,1.409142256,0,1.19271636009216,0.383356511592865,3.58449363708496,0.790375530719757,13.2957401275635,12.5621271133423,56.0116653442383,12.1004323959351,0.79355925321579,0,0,
19,3.047288656,0,0,0,6.030642986,0,1.370944262,0,0.7880402803,0,1.531610131,0,1.29265236854553,0.411884516477585,3.47282814979553,0.725401282310486,13.3300151824951,12.5932388305664,55.9530754089355,11.5812292098999,0.734539389610291,0,0,
20,3.388863802,0,0,0,6.364654064,0,1.453392267,0,0.8318477869,0,1.656086326,0,1.3926295042038,0.439921170473099,3.37719893455505,0.66797000169754,13.3472204208374,12.6255722045898,55.8963088989258,11.0873279571533,0.687281489372253,0,0,
21,3.745159626,0,0,0,6.685716152,0,1.534695387,0,0.8741680384,0,1.782188535,0,1.49214696884155,0.467332124710083,3.29675841331482,0.617351531982422,13.3485841751099,12.6594371795654,55.8414344787598,10.6177062988281,0.64996737241745,0,0,
22,4.115199089,0,0,0,6.9929986,0,1.614709973,0,0.9149427414,0,1.909542799,0,1.59077405929565,0.494014799594879,3.23055124282837,0.572884619235992,13.3352727890015,12.6950874328613,55.7885055541992,10.1713771820068,0.621032774448395,0,0,
23,4.497943878,0,0,0,7.285841942,0,1.693309426,0,0.9541330934,0,2.037781954,0,1.68814206123352,0.519891679286957,3.17755174636841,0.533970057964325,13.3083906173706,12.7327289581299,55.7375640869141,9.74739265441895,0.599132418632507,0,0,
24,4.892302036,0,0,0,7.563751698,0,1.770383,0,0.9917179346,0,2.166551113,0,1.78393852710724,0.544905722141266,3.13669610023499,0.500064671039581,13.2689838409424,12.7725210189819,55.6886329650879,9.34483814239502,0.583109974861145,0,0,
25,5.297135353,0,0,0,7.826388836,0,1.845834613,0,1.027691007,0,2.295506477,0,1.87790071964264,0.569016695022583,3.10690712928772,0.470675975084305,13.2180442810059,12.8145837783813,55.641716003418,8.96283340454102,0.57197231054306,0,0,
26,5.711267948,0,0,0,8.073560715,0,1.919582129,0,1.062059283,0,2.424319744,0,1.96981120109558,0.592198371887207,3.08711433410645,0.445357114076614,13.1565103530884,12.858998298645,55.5968246459961,8.60053062438965,0.564867436885834,0,0,
27,6.133491516,0,0,0,8.305208206,0,1.991555929,0,1.094839931,0,2.552677155,0,2.05949211120605,0.614435970783234,3.07627034187317,0.423702627420425,13.0852689743042,12.9058132171631,55.5539398193359,8.25710964202881,0.561065077781677,0,0,
28,6.767250538,0,0,0,8.308794022,0,2.0440557,0,1.124962211,0,2.675699711,0,2.14561796188354,0.635609328746796,3.07046866416931,0.405323773622513,13.0051593780518,12.9549293518066,55.5130386352539,7.932457447052,0.558930218219757,0,0,
