"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.577430009841919,0.993438005447388,8.35050678253174,7.50458288192749,4.68103408813477,6.60615301132202,51.4248199462891,0,0,46.3936004638672,16.9028701782227,
1,0,0.001893006382,0,0,0,0.02019007504,0,0.003456327831,0,0.05321244895,0,0.07328864932,0,0,6.71262121200562,5.01698637008667,5.63291645050049,7.68762159347534,51.8928527832031,0,0,42.9689331054688,12.6911087036133,
2,0,0.01060884912,0,0,0,0.07797899097,0,0.01100050844,0,0.1208676472,0,0.1712500751,0,0,5.3375129699707,3.3546245098114,6.40243482589722,8.39161968231201,52.0588645935059,0,0,39.7971000671387,9.52915668487549,
3,0,0.02906861529,0,0,0,0.1698908359,0,0.0216121804,0,0.1935311705,0,0.2828369737,0,0,4.20909452438354,2.24405193328857,7.01273727416992,8.88496112823486,52.1377983093262,0,0,36.8594932556152,7.15572166442871,
4,0,0.05941428244,0,0,0,0.293173492,0,0.03483498096,0,0.2683695555,0,0.4052171707,0,0,3.29903531074524,1.50242698192596,7.4844274520874,9.21557331085205,52.1601524353027,0,0,34.1388893127441,5.37459516525269,
5,0,0.1034087241,0,0,0,0.44538939,0,0.05036142841,0,0.3438206315,0,0.5369204879,0,0,2.57521486282349,1.00750696659088,7.83582639694214,9.42148017883301,52.1461753845215,0,0,31.6193523406982,4.03843784332275,
6,0,0.1625642627,0,0,0,0.6242687702,0,0.06795302778,0,0.4188730717,0,0.6769790649,0,0,2.00625538825989,0.677566170692444,8.0832052230835,9.53262996673584,52.1092758178711,0,0,29.2861328125,3.03660416603088,
7,0,0.2382029295,0,0,0,0.8276411891,0,0.08741027862,0,0.4928222001,0,0.8246566057,0,0,1.5637344121933,0.457965612411499,8.24099922180176,9.57245635986328,52.0583343505859,0,0,27.1255798339844,2.28600144386292,
8,0,0.3314892054,0,0,0,1.05339992,0,0.1085584834,0,0.5651593804,0,0.9793356061,0,0,1.22305011749268,0.312175363302231,8.32199478149414,9.55920124053955,51.9992027282715,0,0,25.1250553131104,1.72422325611115,
9,0,0.4434490502,0,0,0,1.299483061,0,0.1312400699,0,0.6355131269,0,1.140464783,0,0,0.963538408279419,0.215771540999413,8.33750629425049,9.50700378417969,51.9357223510742,0,0,23.2728614807129,1.30439686775208,
10,0,0.5749816298,0,0,0,1.563863397,0,0.1553100348,0,0.7036124468,0,1.30752933,0,0,0.768207907676697,0.152423501014709,8.29752922058105,9.42678737640381,51.8704071044922,0,0,21.5581741333008,0.99131178855896,
11,0,0.7268661857,0,0,0,1.844545245,0,0.1806332469,0,0.7692645192,0,1.480037689,0,0,0.623302519321442,0.111210949718952,8.21087646484375,9.32696342468262,51.8048706054688,0,0,19.9709701538086,0.758514642715454,
12,0,0.8997665048,0,0,0,2.139563799,0,0.20708251,0,0.8323373795,0,1.657511473,0,0,0.517814874649048,0.0848305523395538,8.08530902862549,9.21399211883545,51.7401504516602,0,0,18.5019721984863,0.586127102375031,
13,0,1.094233513,0,0,0,2.446987391,0,0.2345374078,0,0.8927481174,0,1.839481831,0,0,0.443015784025192,0.0683969408273697,7.92764329910278,9.0928258895874,51.6768798828125,0,0,17.1425876617432,0.459207892417908,
14,0,1.310706377,0,0,0,2.76492238,0,0.2628834844,0,0.9504536986,0,2.025486946,0,0,0.39202955365181,0.0586411654949188,7.74385833740234,8.96724987030029,51.6154479980469,0,0,15.8848676681519,0.366522818803787,
15,0,1.549513698,0,0,0,3.091517687,0,0.2920116186,0,1.005443215,0,2.215071678,0,0,0.359468162059784,0.053374920040369,7.53918313980103,8.8401517868042,51.5560722351074,0,0,14.7214488983154,0.299621433019638,
16,0,1.810873508,0,0,0,3.424970388,0,0.3218176961,0,1.057732344,0,2.407786846,0,0,0.341125249862671,0.0511323027312756,7.31817865371704,8.71372318267822,51.498851776123,0,0,13.6455144882202,0.252143681049347,
17,0,2.094894171,0,0,0,3.763532639,0,0.3522022963,0,1.10735774,0,2.603190184,0,0,0.333725124597549,0.0509303994476795,7.08481407165527,8.58962249755859,51.4438209533691,0,0,12.6507520675659,0.219299554824829,
18,0,2.401573896,0,0,0,4.105517864,0,0.3830704093,0,1.154373288,0,2.800848007,0,0,0.334720492362976,0.0521092191338539,6.84253025054932,8.46909523010254,51.3909683227539,0,0,11.7313137054443,0.197478234767914,
19,0,2.730802059,0,0,0,4.449307919,0,0.4143314362,0,1.198846817,0,3.000334263,0,0,0.342131108045578,0.05422468110919,6.59429979324341,8.35307121276855,51.3402557373047,0,0,10.8817844390869,0.183954849839211,
20,0,3.082360268,0,0,0,4.793356895,0,0.4458989501,0,1.240856528,0,3.201233864,0,0,0.354416459798813,0.0569771192967892,6.34268045425415,8.24222850799561,51.2916145324707,0,0,10.0971479415894,0.176670342683792,
21,0,3.455921888,0,0,0,5.136201382,0,0.4776907265,0,1.280488491,0,3.403142452,0,0,0.370376288890839,0.0601634681224823,6.08986234664917,8.13705635070801,51.244987487793,0,0,9.3727560043335,0.174066171050072,
22,0,3.851056337,0,0,0,5.476460934,0,0.5096285939,0,1.317835331,0,3.605667114,0,0,0.389072686433792,0.0636453032493591,5.83770990371704,8.03789234161377,51.2002944946289,0,0,8.70429992675781,0.174960300326347,
23,0,4.267228603,0,0,0,5.812847137,0,0.5416384339,0,1.35299325,0,3.808428526,0,0,0.409770429134369,0.0673275366425514,5.58780145645142,7.94495582580566,51.157470703125,0,0,8.08778858184814,0.178454056382179,
24,0,4.703804493,0,0,0,6.144165039,0,0.5736500025,0,1.386061072,0,4.011060238,0,0,0.431890547275543,0.0711440742015839,5.34146118164063,7.85837316513062,51.1164360046387,0,0,7.51952075958252,0.183862403035164,
25,0,5.160051346,0,0,0,6.469319344,0,0.6055970788,0,1.417138219,0,4.213212013,0,0,0.454974830150604,0.0750483572483063,5.09979152679443,7.77819728851318,51.0771217346191,0,0,6.99606227874756,0.190661385655403,
26,0,5.635143757,0,0,0,6.787315369,0,0.6374173164,0,1.446325302,0,4.414546013,0,0,0.478658676147461,0.0790069699287415,4.86369848251343,7.70442056655884,51.0394592285156,0,0,6.5142297744751,0.198448926210403,
27,0,6.128167152,0,0,0,7.097261429,0,0.669052124,0,1.473720789,0,4.614743233,0,0,0.502650380134583,0.0829953700304031,4.63391780853271,7.63698816299438,51.0033874511719,0,0,6.07106828689575,0.206915274262428,
