"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.387290000915527,2.38501691818237,18.4282207489014,13.3431901931763,13.4414501190186,10.5308904647827,95.8666229248047,69.6152496337891,33.7356796264648,0,0,
1,0.005879869685,0,0,0,0.2324325591,0,0.04218178615,0,0.02636221983,0,0.03590749949,0,0.305151373147964,1.52616953849792,19.5448017120361,11.9600124359131,15.2457542419434,11.2494668960571,95.9987945556641,66.4771575927734,28.7893371582031,0,0,
2,0.03110321984,0,0,0,0.7343223095,0,0.1110858619,0,0.08129807562,0,0.1132874563,0,0.255880177021027,0.985887706279755,20.1126480102539,10.7207412719727,16.903600692749,11.9275846481323,96.0585708618164,63.4806022644043,24.5718727111816,0,0,
3,0.08237928897,0,0,0,1.425137281,0,0.1947724372,0,0.1550371498,0,0.2228710204,0,0.239583566784859,0.653944790363312,20.26047706604,9.61078834533691,18.4233531951904,12.5648584365845,96.0684356689453,60.6192893981934,20.9785671234131,0,0,
4,0.164337337,0,0,0,2.266184807,0,0.2889308333,0,0.2421978116,0,0.3615207076,0,0.253832250833511,0.458380579948425,20.0926094055176,8.61702060699463,19.8129539489746,13.1619997024536,96.0436553955078,57.8872566223145,17.9194946289063,0,0,
5,0.2806225121,0,0,0,3.230341434,0,0.3909451663,0,0.3386359811,0,0.527587831,0,0.295291155576706,0.352254152297974,19.6935901641846,7.72764587402344,21.0799446105957,13.7204866409302,95.9947280883789,55.2788124084473,15.3176012039185,0,0,
6,0.4342288673,0,0,0,4.296050549,0,0.4989569485,0,0.4409233034,0,0.7199672461,0,0.36026057600975,0.304806083440781,19.1316223144531,6.93208312988281,22.2314872741699,14.242317199707,95.9289779663086,52.7885551452637,13.1069068908691,0,0,
7,0.6276501417,0,0,0,5.445056915,0,0.6115352511,0,0.5461813807,0,0.9377203584,0,0.444961428642273,0.29574266076088,18.4613780975342,6.22083711624146,23.274377822876,14.7298202514648,95.8515777587891,50.411319732666,11.2309169769287,0,0,
8,0.8629593849,0,0,0,6.661332607,0,0.7275249362,0,0.6520106792,0,1.17989254,0,0.545708060264587,0.311560690402985,17.7263336181641,5.58539009094238,24.2150745391846,15.185510635376,95.766242980957,48.1421966552734,9.64126110076904,0,0,
9,1.141854405,0,0,0,7.930505753,0,0.8459653854,0,0.7564477324,0,1.445420504,0,0.65901917219162,0.34318807721138,16.9607009887695,5.01809740066528,25.0597019195557,15.6119842529297,95.6756896972656,45.9765014648438,8.29651641845703,0,0,
10,1.465685248,0,0,0,9.239525795,0,0.9660423398,0,0.8579279184,0,1.733090281,0,0.781688809394836,0.384468823671341,16.1910533905029,4.51209735870361,25.814079284668,16.0118312835693,95.5818786621094,43.9097709655762,7.16120576858521,0,0,
11,1.83547163,0,0,0,10.57646084,0,1.087056518,0,0.955250144,0,2.041525364,0,0.910829544067383,0.43118754029274,15.4376850128174,4.06122779846191,26.4837245941162,16.387580871582,95.4862899780273,41.937744140625,6.20493602752686,0,0,
12,2.251914024,0,0,0,11.93037224,0,1.208402753,0,1.047537208,0,2.369195461,0,1.0438939332962,0.480438798666,14.7157363891602,3.65995240211487,27.0738754272461,16.7416591644287,95.390007019043,40.0563583374023,5.40166330337524,0,0,
13,2.715401411,0,0,0,13.29122543,0,1.329554439,0,1.134195328,0,2.714437008,0,1.17868053913116,0.530216157436371,14.036150932312,3.30329418182373,27.5895023345947,17.0763607025146,95.2938385009766,38.2617340087891,4.72906303405762,0,0,
14,3.226018429,0,0,0,14.64983845,0,1.4500525,0,1.214874029,0,3.075477839,0,1.31332731246948,0.579141318798065,13.4064617156982,2.98677754402161,28.0353202819824,17.3938293457031,95.1983871459961,36.550163269043,4.16799449920654,0,0,
15,3.783550024,0,0,0,15.99783897,0,1.569496274,0,1.289425135,0,3.45047164,0,1.44629549980164,0.626282870769501,12.8314533233643,2.70637392997742,28.4158020019531,17.6960506439209,95.1041030883789,34.9181213378906,3.70203971862793,0,0,
16,4.387487888,0,0,0,17.3276329,0,1.687536955,0,1.357864976,0,3.837524891,0,1.57634663581848,0.671032249927521,12.3137111663818,2.45845603942871,28.7351894378662,17.9848461151123,95.0112991333008,33.3622245788574,3.31711363792419,0,0,
17,5.037037849,0,0,0,18.63238525,0,1.803871036,0,1.420339823,0,4.234731674,0,1.70251548290253,0.713017404079437,11.8540802001953,2.23975539207459,28.9975032806396,18.2618751525879,94.9202041625977,31.8792476654053,3.00112819671631,0,0,
18,5.731126308,0,0,0,19.90599632,0,1.918236375,0,1.477093339,0,4.640196323,0,1.82408034801483,0.752040684223175,11.4520406723022,2.04732584953308,29.2065563201904,18.5286407470703,94.8309936523438,30.4661045074463,2.74370646476746,0,0,
19,6.468409061,0,0,0,21.14308167,0,2.030407429,0,1.52843976,0,5.052062035,0,1.94053244590759,0.78803288936615,11.1060276031494,1.87850892543793,29.3659610748291,18.7864933013916,94.743766784668,29.1198387145996,2.53593945503235,0,0,
20,7.247282982,0,0,0,22.33895493,0,2.14019227,0,1.574739814,0,5.468527317,0,2.0515444278717,0.821018874645233,10.8136873245239,1.73090624809265,29.4791431427002,19.0366344451904,94.6586151123047,27.83762550354,2.37017607688904,0,0,
21,8.065898895,0,0,0,23.48960876,0,2.247428179,0,1.616381168,0,5.887870789,0,2.15694212913513,0.851091146469116,10.5720920562744,1.60235190391541,29.5493450164795,19.2801399230957,94.5755767822266,26.616756439209,2.23984694480896,0,0,
22,8.922171593,0,0,0,24.59168625,0,2.351980448,0,1.653762341,0,6.30845356,0,2.25667667388916,0.878389239311218,10.3779144287109,1.49088954925537,29.5796375274658,19.5179481506348,94.4946746826172,25.4546394348145,2.13931083679199,0,0,
23,9.813799858,0,0,0,25.64246178,0,2.453738928,0,1.687280297,0,6.728740215,0,2.35079956054688,0.903083801269531,10.2275695800781,1.3947514295578,29.5729293823242,19.7508869171143,94.4159240722656,24.3487873077393,2.06372475624084,0,0,
24,10.73828125,0,0,0,26.63981819,0,2.552615643,0,1.717320442,0,7.147298813,0,2.43944001197815,0.925363838672638,10.1173334121704,1.31233954429626,29.5319709777832,19.9796733856201,94.3393402099609,23.2968139648438,2.00893354415894,0,0,
25,11.69292927,0,0,0,27.58220673,0,2.648543358,0,1.744250417,0,7.562807083,0,2.52278566360474,0.945427238941193,10.0434322357178,1.24220967292786,29.4593658447266,20.2049236297607,94.2649230957031,22.2964324951172,1.97137355804443,0,0,
