"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.640434980392456,1.64693605899811,9.70268630981445,7.94289922714233,10.4853897094727,11.876669883728,74.7828216552734,51.9779891967773,13.3308801651001,0,0,
1,0.0006489793304,0,0,0,0.5591911077,0,0.484208405,0,0.09647928178,0,0.1352995038,0,0.452391088008881,0.845477998256683,9.48713302612305,6.82325553894043,11.702130317688,12.3046464920044,74.9385528564453,49.3899765014648,11.1543388366699,0,0,
2,0.004001094028,0,0,0,1.462456107,0,0.7674403191,0,0.2010865659,0,0.2948386669,0,0.388172686100006,0.45425346493721,9.1351318359375,5.86278676986694,12.7943744659424,12.6843938827515,75.0052947998047,46.930835723877,9.34038352966309,0,0,
3,0.01159394532,0,0,0,2.457046986,0,0.9982472658,0,0.3037531376,0,0.46589607,0,0.393107026815414,0.272173851728439,8.70283508300781,5.03919744491577,13.7706708908081,13.0248546600342,75.0211486816406,44.594165802002,7.83176708221436,0,0,
4,0.0246610567,0,0,0,3.493845701,0,1.198294163,0,0.4021613002,0,0.6449684501,0,0.438509196043015,0.195957913994789,8.22959995269775,4.33326625823975,14.6390552520752,13.3325147628784,75.0066833496094,42.3739013671875,6.57919836044312,0,0,
5,0.0442786999,0,0,0,4.549095154,0,1.376928806,0,0.4954058826,0,0.830001235,0,0.50681483745575,0.172815233469009,7.74403476715088,3.72845983505249,15.4070835113525,13.6123285293579,74.9733428955078,40.2642822265625,5.54110431671143,0,0,
6,0.0714173466,0,0,0,5.608489037,0,1.539328098,0,0.5831582546,0,1.019511819,0,0.58712762594223,0.175796657800674,7.26663732528687,3.21056079864502,16.0818557739258,13.8682470321655,74.9277420043945,38.2598419189453,4.68253040313721,0,0,
7,0.1069671735,0,0,0,6.662389278,0,1.68876195,0,0.6653793454,0,1.212323189,0,0.672701776027679,0.191166058182716,6.81169128417969,2.7673454284668,16.6700401306152,14.1035404205322,74.873893737793,36.3553848266602,3.97412514686584,0,0,
8,0.1517525464,0,0,0,7.703845501,0,1.82747364,0,0.7421882749,0,1.407453775,0,0.759407341480255,0.211943969130516,6.38872289657593,2.38830518722534,17.1779003143311,14.3209857940674,74.8143920898438,34.5459861755371,3.39125800132751,0,0,
9,0.2065409571,0,0,0,8.727617264,0,1.957092524,0,0.8137931824,0,1.604064465,0,0.844769179821014,0.234607338905334,6.00363302230835,2.06440496444702,17.6113204956055,14.5229911804199,74.7510070800781,32.826976776123,2.91326761245728,0,0,
10,0.2720485628,0,0,0,9.729634285,0,2.078852892,0,0.8804512024,0,1.801427841,0,0.927358865737915,0.257402330636978,5.65958976745605,1.78787803649902,17.9758224487305,14.7116661071777,74.6850204467773,31.1939105987549,2.52282691001892,0,0,
11,0.3489437401,0,0,0,10.70666504,0,2.193720102,0,0.9424436688,0,1.998907328,0,1.0064070224762,0.279480844736099,5.35772562026978,1.55204689502716,18.27659034729,14.8888683319092,74.6173629760742,29.6425762176514,2.20540738105774,0,0,
12,0.4378493726,0,0,0,11.6561079,0,2.302468777,0,1.000060797,0,2.195945978,0,1.08155608177185,0.30045810341835,5.09768581390381,1.35117053985596,18.5184841156006,15.0562410354614,74.5487899780273,28.1689720153809,1.94882798194885,0,0,
13,0.5393439531,0,0,0,12.57584953,0,2.405733109,0,1.053592086,0,2.392053604,0,1.1527019739151,0.32018569111824,4.87805318832397,1.18031322956085,18.7060642242432,15.2152290344238,74.4798812866211,26.7692985534668,1.74287748336792,0,0,
14,0.6539623737,0,0,0,13.46416855,0,2.504042149,0,1.103319764,0,2.586802959,0,1.21989369392395,0.338634699583054,4.69668054580688,1.03523135185242,18.8436069488525,15.3671054840088,74.4110946655273,25.4399528503418,1.57899558544159,0,0,
15,0.7821959257,0,0,0,14.31965733,0,2.59784174,0,1.149514914,0,2.779817581,0,1.28326892852783,0.355835556983948,4.55094432830811,0.912276446819305,18.9351196289063,15.5129795074463,74.3428192138672,24.17751121521,1.4500070810318,0,0,
16,0.92449224,0,0,0,15.14117432,0,2.687514544,0,1.192435026,0,2.970771074,0,1.34301352500916,0.371846705675125,4.43793869018555,0.808311522006989,18.984354019165,15.6538162231445,74.2753448486328,22.978723526001,1.34989738464355,0,0,
17,1.081254601,0,0,0,15.92780399,0,2.773390532,0,1.232323289,0,3.159380913,0,1.39933669567108,0.386738866567612,4.35462236404419,0.720639407634735,18.9948272705078,15.7904462814331,74.2089157104492,21.8405055999756,1.27362585067749,0,0,
18,1.252841711,0,0,0,16.67882156,0,2.855757952,0,1.269407392,0,3.345400333,0,1.45245432853699,0.400586187839508,4.29792547225952,0.646941125392914,18.9698314666748,15.9235773086548,74.1437225341797,20.7599258422852,1.21696817874908,0,0,
19,1.439566612,0,0,0,17.39367104,0,2.934870005,0,1.303899646,0,3.528620243,0,1.50258016586304,0.413462370634079,4.26483106613159,0.585222661495209,18.912446975708,16.0538063049316,74.0799255371094,19.7342052459717,1.17638468742371,0,0,
20,1.641696095,0,0,0,18.07194901,0,3.010951281,0,1.335997581,0,3.708862782,0,1.54992079734802,0.425438284873962,4.25242853164673,0.53376966714859,18.8255558013916,16.1816349029541,74.0176391601563,18.7607002258301,1.14890956878662,0,0,
21,1.859449863,0,0,0,18.71337891,0,3.084202051,0,1.365884185,0,3.885976791,0,1.59467124938965,0.436580955982208,4.25795412063599,0.49110808968544,18.7118511199951,16.3074703216553,73.9569549560547,17.8369045257568,1.13205897808075,0,0,
22,2.092999935,0,0,0,19.31781197,0,3.15480113,0,1.393728852,0,4.059836864,0,1.63701474666595,0.446953177452087,4.27881240844727,0.455970674753189,18.5738525390625,16.4316444396973,73.8979415893555,16.9604339599609,1.12375295162201,0,0,
23,2.342469692,0,0,0,19.88520622,0,3.222910404,0,1.419688463,0,4.230341911,0,1.67712199687958,0.456613540649414,4.31259298324585,0.427267849445343,18.4139099121094,16.5544128417969,73.8406524658203,16.1290245056152,1.12225067615509,0,0,
24,2.607933044,0,0,0,20.41562271,0,3.288675785,0,1.443906426,0,4.397408962,0,1.71515107154846,0.465616226196289,4.35707473754883,0.404062926769257,18.2342185974121,16.6759777069092,73.7851104736328,15.3405294418335,1.12609589099884,0,0,
25,2.889414787,0,0,0,20.90921593,0,3.352230787,0,1.466516018,0,4.560975552,0,1.75124776363373,0.474011391401291,4.41022729873657,0.385550737380981,18.0368270874023,16.796480178833,73.7313385009766,14.592903137207,1.13407146930695,0,0,
26,3.186888695,0,0,0,21.36623001,0,3.413696051,0,1.487639427,0,4.720993996,0,1.78554677963257,0.481845408678055,4.47020626068115,0.371039122343063,17.8236465454102,16.9160175323486,73.6793441772461,13.8842067718506,1.14516127109528,0,0,
27,3.500278711,0,0,0,21.78698921,0,3.473183155,0,1.507389069,0,4.877431393,0,1.81817185878754,0.489160895347595,4.5353479385376,0.359933286905289,17.59645652771,17.0346431732178,73.6291198730469,13.2125959396362,1.15851759910583,0,0,
28,3.82945776,0,0,0,22.17189789,0,3.530793905,0,1.525868177,0,5.030268669,0,1.84923732280731,0.495997220277786,4.60415840148926,0.351722031831741,17.3569183349609,17.152379989624,73.5806655883789,12.5763177871704,1.17343485355377,0,0,
29,4.174248695,0,0,0,22.52143097,0,3.586622477,0,1.543172002,0,5.179499626,0,1.87884795665741,0.502390444278717,4.67530536651611,0.345966190099716,17.1065711975098,17.2692165374756,73.5339660644531,11.9737043380737,1.18932688236237,0,0,
30,4.534422874,0,0,0,22.83613205,0,3.640755415,0,1.559387684,0,5.32512331,0,1.90710008144379,0.508373856544495,4.74760770797729,0.342288464307785,16.846851348877,17.3851203918457,73.4889984130859,11.4031715393066,1.20570814609528,0,0,
31,4.909702778,0,0,0,23.1166172,0,3.693273783,0,1.574595571,0,5.467154503,0,1.93408262729645,0.513978004455566,4.82002449035645,0.340364873409271,16.5790920257568,17.500036239624,73.4457397460938,10.8632125854492,1.22217774391174,0,0,
32,5.299760342,0,0,0,23.36355591,0,3.744251728,0,1.588869333,0,5.605610847,0,1.95987749099731,0.519231081008911,4.89164257049561,0.339917212724686,16.3045310974121,17.6138954162598,73.4041519165039,10.352391242981,1.23840630054474,0,0,
33,5.704219818,0,0,0,23.5776825,0,3.793759108,0,1.602276802,0,5.74052,0,1.98456001281738,0.524158775806427,4.96166896820068,0.34070673584938,16.0243167877197,17.7266120910645,73.3642120361328,9.86934471130371,1.25412464141846,0,0,
34,6.122656822,0,0,0,23.75978661,0,3.84186101,0,1.614880323,0,5.871914864,0,2.00819993019104,0.528784871101379,5.02941799163818,0.342528641223907,15.7395133972168,17.8380908966064,73.3258895874023,9.4127721786499,1.26911509037018,0,0,
35,6.554601669,0,0,0,23.91070557,0,3.888617754,0,1.626737118,0,5.999834061,0,2.03086090087891,0.533131182193756,5.09430456161499,0.345207303762436,15.4511051177979,17.9482307434082,73.2891387939453,8.98143672943115,1.28320276737213,0,0,
36,6.999538422,0,0,0,24.03133583,0,3.934086323,0,1.637899876,0,6.124320984,0,2.0526020526886,0.537217795848846,5.15583229064941,0.348592221736908,15.1600027084351,18.0569248199463,73.2539215087891,8.5741605758667,1.29624962806702,0,0,
37,7.456908226,0,0,0,24.12261009,0,3.978319645,0,1.648417354,0,6.24542284,0,2.07347846031189,0.541063249111176,5.21358871459961,0.352554500102997,14.8670473098755,18.1640586853027,73.22021484375,8.18982028961182,1.30814862251282,0,0,
38,7.926110268,0,0,0,24.18551064,0,4.021368027,0,1.658333898,0,6.363189697,0,2.09354043006897,0.54468435049057,5.26723384857178,0.356983870267868,14.5730133056641,18.2695217132568,73.1879653930664,7.82734489440918,1.31881892681122,0,0,
39,8.406504631,0,0,0,24.2210598,0,4.063278675,0,1.667690754,0,6.477675915,0,2.11283445358276,0.548096835613251,5.31649541854858,0.361786037683487,14.2786140441895,18.3731994628906,73.1571426391602,7.48571395874023,1.32820272445679,0,0,
40,8.897413254,0,0,0,24.23031425,0,4.104095459,0,1.67652595,0,6.588938713,0,2.13140416145325,0.551315069198608,5.36116218566895,0.366880476474762,13.9845056533813,18.474983215332,73.1277084350586,7.16395330429077,1.33626079559326,0,0,
41,9.398125648,0,0,0,24.21436691,0,4.14386034,0,1.684874654,0,6.697036743,0,2.14928984642029,0.554352343082428,5.40107774734497,0.372198551893234,13.6912899017334,18.5747604370117,73.0996246337891,6.86113357543945,1.34297049045563,0,0,
42,9.907895088,0,0,0,24.17433548,0,4.182612896,0,1.692768335,0,6.802026749,0,2.16652846336365,0.557220876216888,5.43613386154175,0.377681761980057,13.3995180130005,18.6724281311035,73.0728454589844,6.57636690139771,1.34832322597504,0,0,
43,10.4259491,0,0,0,24.1113739,0,4.220390797,0,1.700237632,0,6.90397501,0,2.18315505981445,0.559931874275208,5.46626758575439,0.383280396461487,13.1096935272217,18.7678852081299,73.0473251342773,6.30880546569824,1.3523223400116,0,0,
44,10.95148563,0,0,0,24.02664948,0,4.257229328,0,1.707309604,0,7.002942085,0,2.1992015838623,0.562495827674866,5.49145460128784,0.388952344655991,12.8222751617432,18.8610343933105,73.0230255126953,6.05763959884644,1.35498142242432,0,0,
45,11.48368168,0,0,0,23.92135429,0,4.293161392,0,1.714009881,0,7.098989964,0,2.21469783782959,0.564922273159027,5.5117073059082,0.394661903381348,12.5376796722412,18.9517860412598,72.9999084472656,5.82209444046021,1.35632264614105,0,0,
46,12.02169323,0,0,0,23.79669762,0,4.328219891,0,1.720361948,0,7.192186356,0,2.22967195510864,0.567220151424408,5.52706909179688,0.400379002094269,12.2562847137451,19.0400562286377,72.9779434204102,5.6014289855957,1.35637593269348,0,0,
47,12.56465912,0,0,0,23.65389442,0,4.36243391,0,1.726387262,0,7.28259182,0,2.24415016174316,0.569397568702698,5.53761100769043,0.406078308820724,11.9784317016602,19.1257648468018,72.9570846557617,5.39493370056152,1.35517752170563,0,0,
48,13.11170483,0,0,0,23.49417496,0,4.395833492,0,1.732106566,0,7.370274067,0,2.25815629959106,0.571462213993073,5.54343032836914,0.411738663911819,11.7044267654419,19.2088432312012,72.9372940063477,5.20193004608154,1.35276913642883,0,0,
49,13.66194439,0,0,0,23.31877136,0,4.428445339,0,1.737538218,0,7.455295563,0,2.27171349525452,0.573421061038971,5.5446457862854,0.417342454195023,11.4345445632935,19.2892284393311,72.9185180664063,5.02176713943481,1.34919691085815,0,0,
50,14.21448994,0,0,0,23.12891388,0,4.4602952,0,1.742699504,0,7.537721634,0,2.28484272956848,0.575280666351318,5.54139614105225,0.422875076532364,11.1690292358398,19.3668651580811,72.9007415771484,4.85382223129272,1.34451115131378,0,0,
51,14.76844501,0,0,0,22.92583275,0,4.491408825,0,1.747606993,0,7.617614746,0,2.2975640296936,0.577047049999237,5.53383684158325,0.428324520587921,10.9080963134766,19.4417037963867,72.883918762207,4.69749784469604,1.33876514434814,0,0,
52,15.62453461,0,0,0,21.10813332,0,5.767286777,0,1.751579165,0,7.683410645,0,2.3708713054657,0.578669130802155,5.5014386177063,0.433631122112274,10.6519365310669,19.5189037322998,72.8680267333984,4.55310964584351,1.32456696033478,0,0,
53,16.09665489,0,0,0,20.81489754,0,5.718302727,0,1.753204346,0,7.710622787,0,2.47950434684753,0.579950332641602,5.44559144973755,0.43858876824379,10.4007415771484,19.6011390686035,72.85302734375,4.41982173919678,1.30287945270538,0,0,
54,16.56764984,0,0,0,20.53536415,0,5.673700333,0,1.755029798,0,7.741400719,0,2.5462749004364,0.580883085727692,5.38862705230713,0.443096250295639,10.1546726226807,19.6843280792236,72.8388595581055,4.29594802856445,1.28207516670227,0,0,
55,17.0375576,0,0,0,20.26845551,0,5.633077621,0,1.757033706,0,7.775444508,0,2.58613610267639,0.581669628620148,5.33114719390869,0.447246432304382,9.9138298034668,19.7659244537354,72.8254699707031,4.1810131072998,1.26213204860687,0,0,
56,17.50641823,0,0,0,20.01321793,0,5.596087456,0,1.75919652,0,7.812494278,0,2.60881948471069,0.582409203052521,5.27363872528076,0.451116621494293,9.67829704284668,19.8443813323975,72.8128204345703,4.07456541061401,1.24302244186401,0,0,
57,17.97426987,0,0,0,19.76878166,0,5.56241703,0,1.761500478,0,7.852313042,0,2.62064838409424,0.583149433135986,5.21649169921875,0.454771101474762,9.44814109802246,19.9188003540039,72.800895690918,3.97617626190186,1.22471439838409,0,0,
58,18.44114113,0,0,0,19.53438568,0,5.53178978,0,1.763929486,0,7.894695282,0,2.62572312355042,0.583911597728729,5.16001510620117,0.458263248205185,9.22341156005859,19.9886989593506,72.7896575927734,3.88543844223022,1.20717370510101,0,0,
59,18.90477371,0,0,0,19.31040573,0,5.504084587,0,1.76645577,0,7.939221382,0,2.62669944763184,0.584703147411346,5.10446453094482,0.461636126041412,9.00414657592773,20.0538692474365,72.7790679931641,3.8019585609436,1.19037008285522,0,0,
60,19.36750031,0,0,0,19.09503746,0,5.478926182,0,1.769078016,0,7.985926628,0,2.62528562545776,0.585525333881378,5.05003643035889,0.464925110340118,8.79036808013916,20.1142768859863,72.7691040039063,3.7253634929657,1.17427146434784,0,0,
61,19.8293457,0,0,0,18.8877182,0,5.456115246,0,1.771784663,0,8.034661293,0,2.62256836891174,0.586377799510956,4.99686527252197,0.468160152435303,8.58208560943604,20.169994354248,72.7597351074219,3.65530443191528,1.15883994102478,0,0,
62,20.28577805,0,0,0,18.68986893,0,5.435667992,0,1.774536729,0,8.084774971,0,2.61924386024475,0.587256193161011,4.94507169723511,0.471363455057144,8.37930011749268,20.2211570739746,72.7509460449219,3.59143805503845,1.14404797554016,0,0,
63,20.74139977,0,0,0,18.49893761,0,5.417191029,0,1.777350783,0,8.136620522,0,2.61574649810791,0.588156640529633,4.89474105834961,0.474552899599075,8.18200016021729,20.2679424285889,72.7427062988281,3.53343749046326,1.12986707687378,0,0,
64,21.19395828,0,0,0,18.31541443,0,5.400619507,0,1.780204296,0,8.189813614,0,2.61233615875244,0.589076519012451,4.84591722488403,0.477743655443192,7.99016380310059,20.3105487823486,72.734977722168,3.48099946975708,1.11626422405243,0,0,
65,21.64575768,0,0,0,18.13794136,0,5.385730743,0,1.78310287,0,8.244510651,0,2.60916781425476,0.590013086795807,4.79862260818481,0.48094779253006,7.80376291275024,20.3491859436035,72.7277603149414,3.43383526802063,1.10320723056793,0,0,
66,22.09228706,0,0,0,17.96787262,0,5.372533798,0,1.786010027,0,8.300047874,0,2.60632848739624,0.590962648391724,4.75287199020386,0.484173446893692,7.62275981903076,20.3840637207031,72.7210235595703,3.39166498184204,1.09066939353943,0,0,
67,22.53585052,0,0,0,17.80389595,0,5.360823154,0,1.788933396,0,8.356593132,0,2.60386276245117,0.591920793056488,4.70867443084717,0.487425565719604,7.44711017608643,20.415397644043,72.7147369384766,3.35421562194824,1.07862865924835,0,0,
68,22.97647667,0,0,0,17.6456604,0,5.350488186,0,1.791866779,0,8.414056778,0,2.60178399085999,0.592885434627533,4.66601419448853,0.490708649158478,7.27676296234131,20.4433879852295,72.7088928222656,3.32123494148254,1.06705868244171,0,0,
69,23.41419029,0,0,0,17.49283218,0,5.341422081,0,1.79480505,0,8.472349167,0,2.60008955001831,0.593854546546936,4.62486600875854,0.494025826454163,7.11166000366211,20.4682369232178,72.7034759521484,3.29248285293579,1.0559344291687,0,0,
70,23.84901619,0,0,0,17.34509659,0,5.333532333,0,1.797743201,0,8.531394958,0,2.5987663269043,0.594826400279999,4.58519697189331,0.497379124164581,6.95174026489258,20.4901371002197,72.6984558105469,3.26773166656494,1.04523169994354,0,0,
71,24.2787323,0,0,0,17.20290565,0,5.326766014,0,1.800661683,0,8.590803146,0,2.59779667854309,0.595797955989838,4.5469765663147,0.50076824426651,6.79693555831909,20.5092678070068,72.6938247680664,3.24675869941711,1.03493106365204,0,0,
72,24.7056179,0,0,0,17.06523132,0,5.321001053,0,1.803572297,0,8.650817871,0,2.59715914726257,0.59676718711853,4.51016902923584,0.504192292690277,6.64717435836792,20.525806427002,72.689567565918,3.22935271263123,1.02501356601715,0,0,
73,25.12745094,0,0,0,16.93252754,0,5.316188812,0,1.806456208,0,8.711052895,0,2.59683084487915,0.597732424736023,4.47473287582397,0.507649838924408,6.50238180160522,20.5399208068848,72.6856536865234,3.21531295776367,1.015460729599,0,0,
74,25.54650116,0,0,0,16.80384254,0,5.312233925,0,1.809325576,0,8.771766663,0,2.59678912162781,0.598692238330841,4.44062614440918,0.511139214038849,6.36247873306274,20.5517692565918,72.6820831298828,3.20444846153259,1.00625467300415,0,0,
75,25.96055031,0,0,0,16.67963982,0,5.309092522,0,1.812163115,0,8.832576752,0,2.59701180458069,0.599645495414734,4.40780210494995,0.514658391475677,6.22738313674927,20.5615043640137,72.6788330078125,3.19657826423645,0.99737823009491,0,0,
76,26.37186241,0,0,0,16.55903625,0,5.306684494,0,1.81498158,0,8.893762589,0,2.59747767448425,0.60059130191803,4.3762149810791,0.518205225467682,6.09701108932495,20.5692672729492,72.675895690918,3.19153046607971,0.988815069198608,0,0,
77,26.78045082,0,0,0,16.44185638,0,5.304964066,0,1.817779183,0,8.955274582,0,2.59816789627075,0.601530015468597,4.3458104133606,0.52177882194519,5.97127532958984,20.5751934051514,72.6732635498047,3.18914842605591,0.980546593666077,0,0,
78,27.18188286,0,0,0,16.32917786,0,5.303891659,0,1.820524216,0,9.016395569,0,2.59906268119812,0.602459192276001,4.3165488243103,0.525375068187714,5.85008764266968,20.5794143676758,72.6709136962891,3.18927049636841,0.972561478614807,0,0,
79,27.58063507,0,0,0,16.21955299,0,5.303403378,0,1.823245168,0,9.077752113,0,2.60014319419861,0.603377223014832,4.28838968276978,0.528990149497986,5.73335838317871,20.5820541381836,72.6688385009766,3.19174289703369,0.964848518371582,0,0,
80,27.97450447,0,0,0,16.11345291,0,5.303461552,0,1.825926304,0,9.138969421,0,2.60139417648315,0.604284346103668,4.26128625869751,0.532621800899506,5.62099599838257,20.5832214355469,72.6670303344727,3.19642639160156,0.957393765449524,0,0,
81,28.3657341,0,0,0,16.01011276,0,5.304023743,0,1.828581452,0,9.200349808,0,2.60280108451843,0.605180680751801,4.23519325256348,0.536267817020416,5.51290845870972,20.5830326080322,72.6654663085938,3.20318865776062,0.950184285640717,0,0,
82,28.74990082,0,0,0,15.91056633,0,5.305045128,0,1.831180215,0,9.261163712,0,2.6043484210968,0.606064796447754,4.2100715637207,0.539924383163452,5.40900182723999,20.5815868377686,72.6641540527344,3.21189761161804,0.943210363388062,0,0,
83,29.13145828,0,0,0,15.81351089,0,5.306499958,0,1.833751917,0,9.32207489,0,2.60602259635925,0.606935739517212,4.18588352203369,0.543588042259216,5.30918312072754,20.5789833068848,72.6630706787109,3.22242784500122,0.936462759971619,0,0,
84,29.50821495,0,0,0,15.7193985,0,5.308347702,0,1.836280942,0,9.382702827,0,2.60781264305115,0.607794523239136,4.1625862121582,0.547257006168365,5.21335792541504,20.5753154754639,72.6622161865234,3.2346670627594,0.929929733276367,0,0,
85,29.8823967,0,0,0,15.62755489,0,5.310571671,0,1.83878231,0,9.443374634,0,2.60970902442932,0.60864120721817,4.14013862609863,0.550929486751556,5.12143278121948,20.570671081543,72.6615676879883,3.24850821495056,0.923600435256958,0,0,
86,30.24959373,0,0,0,15.53896427,0,5.31311512,0,1.841225982,0,9.50334549,0,2.61169981956482,0.609474897384644,4.11850643157959,0.554602146148682,5.03331327438354,20.5651321411133,72.6611328125,3.26384377479553,0.917467176914215,0,0,
87,30.61204338,0,0,0,15.45295334,0,5.315961838,0,1.843626857,0,9.56294632,0,2.61377263069153,0.610293686389923,4.09766244888306,0.558270335197449,4.94890546798706,20.5587768554688,72.6608963012695,3.2805643081665,0.911525011062622,0,0,
88,30.97196388,0,0,0,15.36891079,0,5.319106102,0,1.845999599,0,9.622516632,0,2.61592102050781,0.611099183559418,4.07756853103638,0.561933040618896,4.86811542510986,20.5516796112061,72.6608505249023,3.298579454422,0.905763924121857,0,0,
89,31.3271637,0,0,0,15.28726864,0,5.322506905,0,1.848329544,0,9.681671143,0,2.61813831329346,0.61189216375351,4.05818843841553,0.565589129924774,4.7908501625061,20.543909072876,72.6609878540039,3.31780338287354,0.900174558162689,0,0,
90,31.67765999,0,0,0,15.20793343,0,5.326145172,0,1.850617051,0,9.74038887,0,2.62041592597961,0.612671732902527,4.03949356079102,0.569235801696777,4.71701765060425,20.5355319976807,72.6613006591797,3.33814859390259,0.894750773906708,0,0,
91,32.0234642,0,0,0,15.13081455,0,5.329995632,0,1.852862358,0,9.798645973,0,2.62274646759033,0.613437712192535,4.02145624160767,0.572870552539825,4.64652585983276,20.5266094207764,72.6617889404297,3.35953116416931,0.889486491680145,0,0,
92,32.36459732,0,0,0,15.05583382,0,5.334041595,0,1.855065703,0,9.856427193,0,2.62512230873108,0.614189863204956,4.00404930114746,0.576490998268127,4.57928466796875,20.5172023773193,72.6624374389648,3.38187193870544,0.884375870227814,0,0,
93,32.70106125,0,0,0,14.98291779,0,5.338263512,0,1.857227445,0,9.913710594,0,2.62753748893738,0.614928066730499,3.98724675178528,0.580094993114471,4.51520395278931,20.5073623657227,72.6632461547852,3.40509581565857,0.879413247108459,0,0,
94,33.03288269,0,0,0,14.91198444,0,5.342643738,0,1.859348059,0,9.970479012,0,2.62998628616333,0.615652561187744,3.97102427482605,0.58368057012558,4.45419406890869,20.497142791748,72.6642150878906,3.42913174629211,0.874593317508698,0,0,
