Iteration,Timestep,ExternalVariableTypeID,ExternalVariableValue,DistributionTypeID,DistributionFrequency,DistributionSD,DistributionMin,DistributionMax
,2002,Ag Change,2002.0000,,,,,
,2002,Fire,2002.0000,,,,,
,2002,Forest Harvest,2002.0000,,,,,
,2002,Insect,2002.0000,,,,,
,2002,Intensification,2002.0000,,,,,
,2002,Urbanization,2002.0000,,,,,
,2003,Ag Change,2003.0000,,,,,
,2003,Fire,2003.0000,,,,,
,2003,Forest Harvest,2003.0000,,,,,
,2003,Insect,2003.0000,,,,,
,2003,Intensification,2003.0000,,,,,
,2003,Urbanization,2003.0000,,,,,
,2004,Ag Change,2004.0000,,,,,
,2004,Fire,2004.0000,,,,,
,2004,Forest Harvest,2004.0000,,,,,
,2004,Insect,2004.0000,,,,,
,2004,Intensification,2004.0000,,,,,
,2004,Urbanization,2004.0000,,,,,
,2005,Ag Change,2005.0000,,,,,
,2005,Fire,2005.0000,,,,,
,2005,Forest Harvest,2005.0000,,,,,
,2005,Insect,2005.0000,,,,,
,2005,Intensification,2005.0000,,,,,
,2005,Urbanization,2005.0000,,,,,
,2006,Ag Change,2006.0000,,,,,
,2006,Fire,2006.0000,,,,,
,2006,Forest Harvest,2006.0000,,,,,
,2006,Insect,2006.0000,,,,,
,2006,Intensification,2006.0000,,,,,
,2006,Urbanization,2006.0000,,,,,
,2007,Ag Change,2007.0000,,,,,
,2007,Fire,2007.0000,,,,,
,2007,Forest Harvest,2007.0000,,,,,
,2007,Insect,2007.0000,,,,,
,2007,Intensification,2007.0000,,,,,
,2007,Urbanization,2007.0000,,,,,
,2008,Ag Change,2008.0000,,,,,
,2008,Fire,2008.0000,,,,,
,2008,Forest Harvest,2008.0000,,,,,
,2008,Insect,2008.0000,,,,,
,2008,Intensification,2008.0000,,,,,
,2008,Urbanization,2008.0000,,,,,
,2009,Ag Change,2009.0000,,,,,
,2009,Fire,2009.0000,,,,,
,2009,Forest Harvest,2009.0000,,,,,
,2009,Insect,2009.0000,,,,,
,2009,Intensification,2009.0000,,,,,
,2009,Urbanization,2009.0000,,,,,
,2010,Ag Change,2010.0000,,,,,
,2010,Fire,2010.0000,,,,,
,2010,Forest Harvest,2010.0000,,,,,
,2010,Insect,2010.0000,,,,,
,2010,Intensification,2010.0000,,,,,
,2010,Urbanization,2010.0000,,,,,
,2011,Ag Change,2011.0000,,,,,
,2011,Fire,2011.0000,,,,,
,2011,Forest Harvest,2011.0000,,,,,
,2011,Insect,2011.0000,,,,,
,2011,Intensification,2011.0000,,,,,
,2011,Urbanization,2011.0000,,,,,
,2012,Ag Change,2012.0000,,,,,
,2012,Fire,2012.0000,,,,,
,2012,Forest Harvest,2012.0000,,,,,
,2012,Insect,2012.0000,,,,,
,2012,Intensification,2012.0000,,,,,
,2012,Urbanization,2012.0000,,,,,
,2013,Ag Change,2013.0000,,,,,
,2013,Fire,2013.0000,,,,,
,2013,Forest Harvest,2013.0000,,,,,
,2013,Insect,2013.0000,,,,,
,2013,Intensification,2013.0000,,,,,
,2013,Urbanization,2013.0000,,,,,
,2014,Ag Change,2014.0000,,,,,
,2014,Fire,2014.0000,,,,,
,2014,Forest Harvest,2014.0000,,,,,
,2014,Insect,2014.0000,,,,,
,2014,Intensification,2014.0000,,,,,
,2014,Urbanization,2014.0000,,,,,
,2015,Ag Change,2015.0000,,,,,
,2015,Fire,2015.0000,,,,,
,2015,Forest Harvest,2015.0000,,,,,
,2015,Insect,2015.0000,,,,,
,2015,Intensification,2015.0000,,,,,
,2015,Urbanization,2015.0000,,,,,
,2016,Ag Change,2016.0000,,,,,
,2016,Fire,2016.0000,,,,,
,2016,Forest Harvest,2016.0000,,,,,
,2016,Insect,,Uniform Integer,Iteration and Timestep,,2002.0000,2015.0000
,2016,Intensification,2016.0000,,,,,
,2016,Urbanization,2016.0000,,,,,
,2017,Ag Change,,Uniform Integer,Iteration and Timestep,,2002.0000,2016.0000
,2017,Fire,2017.0000,,,,,
,2017,Forest Harvest,,Uniform Integer,Iteration and Timestep,,2002.0000,2016.0000
,2017,Intensification,,Uniform Integer,Iteration and Timestep,,2002.0000,2016.0000
,2017,Urbanization,,Uniform Integer,Iteration and Timestep,,2002.0000,2016.0000
,2018,Fire,2018.0000,,,,,
,2019,Fire,2019.0000,,,,,
,2020,Fire,2020.0000,,,,,
,2021,Fire,,Uniform Integer,Iteration and Timestep,,2002.0000,2020.0000
